email,password,first_name,provider
dylan.mitchell@outlook.com,FILL_IN,Dylan,outlook
d.mitchell@hotmail.com,FILL_IN,Dylan,outlook
ryan.stephens@outlook.com,FILL_IN,Ryan,outlook
ryanstephens@hotmail.com,FILL_IN,Ryan,outlook
alex.carter@outlook.com,FILL_IN,Alex,outlook
a.carter@hotmail.com,FILL_IN,Alex,outlook
jordan.brooks@hotmail.com,FILL_IN,Jordan,outlook
jordan.b@outlook.com,FILL_IN,Jordan,outlook
taylor.hayes@outlook.com,FILL_IN,Taylor,outlook
taylorhayes@hotmail.com,FILL_IN,Taylor,outlook
morgan.reed@outlook.com,FILL_IN,Morgan,outlook
m.reed@hotmail.com,FILL_IN,Morgan,outlook
casey.cole@outlook.com,FILL_IN,Casey,outlook
riley.grant@hotmail.com,FILL_IN,Riley,outlook
parker.quinn@outlook.com,FILL_IN,Parker,outlook
