email,first_name,last_name,company,title,website,linkedin
j.martinez@vectronics.io,Jorge,Martinez,Vectronics Inc,VP of Engineering,https://www.vectronics.io,https://linkedin.com/in/jorgemartinez-vec
s.chen@brightpathdata.com,Sarah,Chen,BrightPath Data,Head of Product,https://www.brightpathdata.com,https://linkedin.com/in/sarahchen-bpd
m.okonkwo@steelridgehq.com,Michael,Okonkwo,SteelRidge Solutions,Director of Operations,https://www.steelridgehq.com,https://linkedin.com/in/mokonkwo-sr
l.petrov@quantumleafai.com,Lena,Petrov,QuantumLeaf AI,CTO,https://www.quantumleafai.com,https://linkedin.com/in/lenapetrov-qlai
d.nakamura@crestlinelogistics.com,Daniel,Nakamura,Crestline Logistics,SVP of Sales,https://www.crestlinelogistics.com,https://linkedin.com/in/danielnakamura-cl
a.kumar@novabitlabs.io,Anita,Kumar,NovaBit Labs,Chief Revenue Officer,https://www.novabitlabs.io,https://linkedin.com/in/anitakumar-nbl
r.fitzgerald@peloranhealth.com,Ryan,Fitzgerald,Peloran Health,VP of Business Development,https://www.peloranhealth.com,https://linkedin.com/in/ryanfitz-peloran
c.dubois@stratosync.io,Claire,Dubois,StratoSync,Head of Growth,https://www.stratosync.io,https://linkedin.com/in/clairedubois-ss
t.vasquez@ironcladsec.com,Tomas,Vasquez,Ironclad Security,Director of IT,https://www.ironcladsec.com,https://linkedin.com/in/tvasquez-ics
k.anderson@bluearcfinance.com,Karen,Anderson,BlueArc Finance,CFO,https://www.bluearcfinance.com,https://linkedin.com/in/karenanderson-baf
